entryGroupKey,pickSetId,R64:210265,R64:210266,R64:210267,R64:210268,R64:210269,R64:210270,R64:210271,R64:210272,R64:210273,R64:210274,R64:210275,R64:210276,R64:210277,R64:210278,R64:210279,R64:210280,R64:210281,R64:210282,R64:210283,R64:210284,R64:210285,R64:210286,R64:210287,R64:210288,R64:210289,R64:210290,R64:210291,R64:210292,R64:210293,R64:210294,R64:210295,R64:210296,R32:210297,R32:210298,R32:210299,R32:210300,R32:210301,R32:210302,R32:210303,R32:210304,R32:210305,R32:210306,R32:210307,R32:210308,R32:210309,R32:210310,R32:210311,R32:210312,R16:210313,R16:210314,R16:210315,R16:210316,R16:210317,R16:210318,R16:210319,R16:210320,R8:210321,R8:210322,R8:210323,R8:210324,R4:210325,R4:210326,R2:210327
Iowa State,NA,1:Duke:429904,BETTER:50,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,BETTER:50,2:UConn:429918,1:Florida:429920,BETTER:50,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,BETTER:50,5:Texas Tech:429940,4:Alabama:429942,BETTER:70,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,BETTER:30,5:Wisconsin:429956,4:Arkansas:429958,BETTER:25,3:Gonzaga:429962,BETTER:25,2:Purdue:429966,1:Duke:429904,BETTER:50,6:Louisville:429912,2:UConn:429918,1:Florida:429920,BETTER:70,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,BETTER:40,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,BETTER:50,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,BETTER:70,1:Florida:429920,BETTER:60,1:Michigan:429936,2:Iowa State:429950,1:Arizona:429952,BETTER:80,BETTER:40,BETTER:35,2:Iowa State:429950,BETTER:50,BETTER:40,2:Iowa State:429950,2:Iowa State:429950
Iowa State,NA,1:Duke:429904,BETTER:50,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,BETTER:50,2:UConn:429918,1:Florida:429920,BETTER:50,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,BETTER:50,5:Texas Tech:429940,4:Alabama:429942,BETTER:70,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,BETTER:30,5:Wisconsin:429956,4:Arkansas:429958,BETTER:25,3:Gonzaga:429962,BETTER:25,2:Purdue:429966,1:Duke:429904,BETTER:50,6:Louisville:429912,2:UConn:429918,1:Florida:429920,BETTER:70,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,BETTER:40,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,BETTER:50,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,BETTER:70,1:Florida:429920,BETTER:60,1:Michigan:429936,2:Iowa State:429950,1:Arizona:429952,BETTER:80,BETTER:40,BETTER:35,2:Iowa State:429950,BETTER:50,BETTER:40,2:Iowa State:429950,2:Iowa State:429950
Iowa State,NA,1:Duke:429904,BETTER:50,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,BETTER:50,2:UConn:429918,1:Florida:429920,BETTER:50,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,BETTER:50,5:Texas Tech:429940,4:Alabama:429942,BETTER:70,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,BETTER:30,5:Wisconsin:429956,4:Arkansas:429958,BETTER:25,3:Gonzaga:429962,BETTER:25,2:Purdue:429966,1:Duke:429904,BETTER:50,3:Michigan State:429914,2:UConn:429918,1:Florida:429920,BETTER:70,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,BETTER:40,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,BETTER:50,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,BETTER:70,1:Florida:429920,BETTER:60,1:Michigan:429936,2:Iowa State:429950,1:Arizona:429952,BETTER:80,BETTER:40,BETTER:35,2:Iowa State:429950,BETTER:50,BETTER:40,2:Iowa State:429950,2:Iowa State:429950
Iowa State,NA,1:Duke:429904,BETTER:50,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,BETTER:50,2:UConn:429918,1:Florida:429920,BETTER:50,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,BETTER:50,5:Texas Tech:429940,4:Alabama:429942,BETTER:70,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,BETTER:30,5:Wisconsin:429956,4:Arkansas:429958,BETTER:25,3:Gonzaga:429962,BETTER:25,2:Purdue:429966,1:Duke:429904,BETTER:50,3:Michigan State:429914,2:UConn:429918,1:Florida:429920,BETTER:70,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,BETTER:40,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,BETTER:50,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,BETTER:70,1:Florida:429920,BETTER:60,1:Michigan:429936,2:Iowa State:429950,1:Arizona:429952,BETTER:80,BETTER:40,BETTER:35,2:Iowa State:429950,BETTER:50,BETTER:40,2:Iowa State:429950,2:Iowa State:429950
Iowa State,NA,1:Duke:429904,BETTER:50,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,BETTER:50,2:UConn:429918,1:Florida:429920,BETTER:50,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,BETTER:50,5:Texas Tech:429940,4:Alabama:429942,BETTER:70,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,BETTER:30,5:Wisconsin:429956,4:Arkansas:429958,BETTER:25,3:Gonzaga:429962,BETTER:25,2:Purdue:429966,1:Duke:429904,BETTER:50,3:Michigan State:429914,2:UConn:429918,1:Florida:429920,BETTER:70,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,BETTER:40,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,BETTER:50,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,BETTER:70,1:Florida:429920,BETTER:60,1:Michigan:429936,2:Iowa State:429950,1:Arizona:429952,BETTER:80,BETTER:40,BETTER:35,2:Iowa State:429950,BETTER:50,BETTER:40,2:Iowa State:429950,2:Iowa State:429950
Illinois,NA,1:Duke:429904,BETTER:50,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,BETTER:50,2:UConn:429918,1:Florida:429920,BETTER:50,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,BETTER:50,5:Texas Tech:429940,4:Alabama:429942,BETTER:70,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,BETTER:30,5:Wisconsin:429956,4:Arkansas:429958,BETTER:25,3:Gonzaga:429962,BETTER:25,2:Purdue:429966,1:Duke:429904,BETTER:50,6:Louisville:429912,2:UConn:429918,1:Florida:429920,BETTER:70,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,BETTER:40,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,BETTER:50,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,BETTER:70,1:Florida:429920,3:Illinois:429930,1:Michigan:429936,BETTER:80,1:Arizona:429952,BETTER:80,BETTER:40,3:Illinois:429930,BETTER:50,BETTER:50,3:Illinois:429930,BETTER:40,3:Illinois:429930
Illinois,NA,1:Duke:429904,BETTER:50,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,BETTER:50,2:UConn:429918,1:Florida:429920,BETTER:50,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,BETTER:50,5:Texas Tech:429940,4:Alabama:429942,BETTER:70,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,BETTER:30,5:Wisconsin:429956,4:Arkansas:429958,BETTER:25,3:Gonzaga:429962,BETTER:25,2:Purdue:429966,1:Duke:429904,BETTER:50,6:Louisville:429912,2:UConn:429918,1:Florida:429920,BETTER:70,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,BETTER:40,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,BETTER:50,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,BETTER:70,1:Florida:429920,3:Illinois:429930,1:Michigan:429936,BETTER:80,1:Arizona:429952,BETTER:80,BETTER:40,3:Illinois:429930,BETTER:50,BETTER:50,3:Illinois:429930,BETTER:40,3:Illinois:429930
Illinois,NA,1:Duke:429904,BETTER:50,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,BETTER:50,2:UConn:429918,1:Florida:429920,BETTER:50,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,BETTER:50,5:Texas Tech:429940,4:Alabama:429942,BETTER:70,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,BETTER:30,5:Wisconsin:429956,4:Arkansas:429958,BETTER:25,3:Gonzaga:429962,BETTER:25,2:Purdue:429966,1:Duke:429904,BETTER:50,3:Michigan State:429914,2:UConn:429918,1:Florida:429920,BETTER:70,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,BETTER:40,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,BETTER:50,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,BETTER:70,1:Florida:429920,3:Illinois:429930,1:Michigan:429936,BETTER:80,1:Arizona:429952,BETTER:80,BETTER:40,3:Illinois:429930,BETTER:50,BETTER:50,3:Illinois:429930,BETTER:40,3:Illinois:429930
Illinois,NA,1:Duke:429904,BETTER:50,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,BETTER:50,2:UConn:429918,1:Florida:429920,BETTER:50,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,BETTER:50,5:Texas Tech:429940,4:Alabama:429942,BETTER:70,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,BETTER:30,5:Wisconsin:429956,4:Arkansas:429958,BETTER:25,3:Gonzaga:429962,BETTER:25,2:Purdue:429966,1:Duke:429904,BETTER:50,3:Michigan State:429914,2:UConn:429918,1:Florida:429920,BETTER:70,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,BETTER:40,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,BETTER:50,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,BETTER:70,1:Florida:429920,3:Illinois:429930,1:Michigan:429936,BETTER:80,1:Arizona:429952,BETTER:80,BETTER:40,3:Illinois:429930,BETTER:50,BETTER:50,3:Illinois:429930,BETTER:40,3:Illinois:429930
Illinois,NA,1:Duke:429904,BETTER:50,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,BETTER:50,2:UConn:429918,1:Florida:429920,BETTER:50,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,BETTER:50,5:Texas Tech:429940,4:Alabama:429942,BETTER:70,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,BETTER:30,5:Wisconsin:429956,4:Arkansas:429958,BETTER:25,3:Gonzaga:429962,BETTER:25,2:Purdue:429966,1:Duke:429904,BETTER:50,3:Michigan State:429914,2:UConn:429918,1:Florida:429920,BETTER:70,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,BETTER:40,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,BETTER:50,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,BETTER:70,1:Florida:429920,3:Illinois:429930,1:Michigan:429936,BETTER:80,1:Arizona:429952,BETTER:80,BETTER:40,3:Illinois:429930,BETTER:50,BETTER:50,3:Illinois:429930,BETTER:40,3:Illinois:429930
Purdue,NA,1:Duke:429904,BETTER:50,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,BETTER:50,2:UConn:429918,1:Florida:429920,BETTER:50,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,BETTER:50,5:Texas Tech:429940,4:Alabama:429942,BETTER:70,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,BETTER:30,5:Wisconsin:429956,4:Arkansas:429958,BETTER:25,3:Gonzaga:429962,BETTER:25,2:Purdue:429966,1:Duke:429904,BETTER:50,6:Louisville:429912,2:UConn:429918,1:Florida:429920,BETTER:70,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,BETTER:40,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,BETTER:50,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,BETTER:70,1:Florida:429920,BETTER:60,1:Michigan:429936,BETTER:80,1:Arizona:429952,BETTER:80,BETTER:40,BETTER:35,BETTER:50,2:Purdue:429966,BETTER:40,2:Purdue:429966,2:Purdue:429966
Purdue,NA,1:Duke:429904,BETTER:50,5:St. John's:429908,4:Kansas:429910,6:Louisville:429912,3:Michigan State:429914,BETTER:50,2:UConn:429918,1:Florida:429920,BETTER:50,5:Vanderbilt:429924,4:Nebraska:429926,11:VCU:429927,3:Illinois:429930,7:Saint Mary's:429932,2:Houston:429934,1:Michigan:429936,BETTER:50,5:Texas Tech:429940,4:Alabama:429942,BETTER:70,3:Virginia:429946,10:Santa Clara:429947,2:Iowa State:429950,1:Arizona:429952,BETTER:30,5:Wisconsin:429956,4:Arkansas:429958,BETTER:25,3:Gonzaga:429962,BETTER:25,2:Purdue:429966,1:Duke:429904,BETTER:50,6:Louisville:429912,2:UConn:429918,1:Florida:429920,BETTER:70,3:Illinois:429930,2:Houston:429934,1:Michigan:429936,BETTER:40,3:Virginia:429946,2:Iowa State:429950,1:Arizona:429952,BETTER:50,3:Gonzaga:429962,2:Purdue:429966,1:Duke:429904,BETTER:70,1:Florida:429920,BETTER:60,1:Michigan:429936,BETTER:80,1:Arizona:429952,BETTER:80,BETTER:40,BETTER:35,BETTER:50,2:Purdue:429966,BETTER:40,2:Purdue:429966,2:Purdue:429966
